Unnamed: 0,content,individual,groups,religion/creed,race/ethnicity,politics
4213,Trẻ trâu đóng film hài hả 🙂,1,0,0,0,0
9379,năm mới nghèo theo cách anh Ba,1,0,0,0,0
9299,Hihi fan cứng,1,1,0,0,0
9646,Hà Nhật đang ở nhà ko thì đi_đi :))),1,0,0,0,0
3183,Con nay hun du_lam nhin cai mo no ko vua Kia thay cho chuoi thach thuc nguoi ta Kia 😲 🤦 ‍ ♀ ️ 😡,0,0,0,0,0
8714,🤣 🤣,0,0,0,0,0
6426,"Thôi m ơi , chết vì corona lại mang_tiếng đất_nước mình",1,1,0,0,0
1455,Chắc Tiệp nghĩ Tiệp là hạng Thượng_đẳng :)),1,0,0,0,0
2508,"Cái này đúng mà , Việt_Nam ! M có câu 1 ng làm_quan cả họ được nhờ mà ! Nhưng cái com mẹ quan bjo muốn nó khôn phải lấy bác hồ ra vả vào mặt nó mới khôn lên dc ko cả bố lẫn con đều ngu như nhau cả thôi",3,3,0,1,3
9436,Dự_Nhiên kết_hợp lại thành_bộ 3 hủy_diệt cmnr 😂,2,0,0,0,0
8392,Quang_Nghĩa tính tiền cho anh ba,1,0,0,0,0
870,Non quá thầy ơi,1,0,0,0,0
8964,Mai koo dc lam fan cung : <,1,1,0,0,0
7433,Tóc chỉ đẹp khi còn ở salon : ( (,0,0,0,0,0
7499,Đừng nói là biển tới tháng rồi nha ? 😂,2,2,0,0,0
5881,ặc :),1,1,0,0,0
6587,Sống bằng cacban rồi . :)))) k bị chậm nữa,2,2,0,0,0
4425,Dk me khong biet tang thue moi truong de lam gi ?,2,2,0,0,2
3945,Lộc Phát cúttttttttt ⛏ ⛏ 🔪 🔪,2,0,0,0,0
6299,nh vl anh :)),2,2,0,0,0
1883,Mẹ_mày . Đang họp đấy bọn ngu,3,3,0,0,0
8105,"A_ha chào cụ tiên_sư trần mần , hay mình khoái nghe hài của cụ , coi_chừng cụ nhé em NCov nó quặc vô là cụ đi đấy , còn giờ này cụ chỉ có dương_vật teo chứ sao mà cúm_dơi cúm_mèo đc",1,0,0,0,0
9261,Đánh nhà cho a :)),1,0,0,0,0
1695,"Mấy con cá đàn_áp dân , từ dân mà ra , đc chính_phủ trả tiền và trao quyền_lực để quay lại đàn_áp dân",0,1,0,0,3
3824,Dạng háng bắt Sele_buscu chứ gì thầy 😍,3,0,0,0,0
5322,nói j thì nói nghe giọng khàn_khàn éo thể nào iu dc 😅,0,0,0,0,0
3286,Quả_báo đó con,3,0,0,0,0
2925,Chat chan tay la xong.ko can lgi het.thang nao danh nguoi giet nguoi cu chat chan cat gan tay,3,0,0,0,0
9621,Thi nhau add =)),1,1,0,0,0
6174,Nghe rất lí Mạc sầu nhưng lại rất cô cô,1,1,0,0,0
3468,Rô nói vậy chắc người việt không có ý_thức bằng bọn nhật,0,3,0,3,0
2716,"cách đây cũng 1 2 năm nghe tin đứa trẻ sinh ra đã cõng 22 triệu giờ 29 triệu , mấy ông đi vay tiền để tăng GDP à =))",0,2,0,0,2
7681,Thiếu 1 số 0 nha ae :)),1,1,0,0,0
6892,♥ ♥ ♥ ♥ ♥ ♥ ♥,0,0,0,0,0
5166,Chuì lol là chui gi vaÿ ?,0,0,0,0,0
6262,Cô lại dễ_thương ... i love you cho gờ cu ❤ ️ 🥰,1,1,0,0,0
5368,Anh_em yếu sly ib,0,0,0,0,0
4962,Đơm chết mẹ nó liền :)),3,3,0,0,0
1980,Phắc ộp ! Dmca,0,3,0,0,0
9572,bít này viết có hết_mực hông ad ?,1,1,0,0,0
1026,Hiếu Bùi_giỏi qá cc j cũng biết hết â,2,0,0,0,0
3406,Chet me may chua con kkk,3,0,0,0,0
8926,Nguyễn_Trang_chị trang ơi anh độ ! ! !,1,1,0,0,0
9574,Thần_kinh tọa,1,1,0,0,0
1120,"Ông này có chơi xk ko , thấy bị điên ... cũng tội",1,0,0,0,0
1836,Tưởng khỉ 🐒 muốn chịt lúc_nào cũng được chứ - hè với đông cũng chịt chịt đụ đụ với nhau đúng khung giờ bố đi nhậu,3,0,0,0,0
2440,“ Cháu ngoan ” boác Hù đây !,3,3,0,0,0
1648,sena cũng có có tuổi nhưng tiuooir lôn,3,0,0,0,0
1940,Cai miệng ba nay chua hêt_nghiệp lai tao nghiệp nua roi.phu ni gì ma tho tức miệng co doi ma thui nua,3,0,0,0,0
2340,linh khùng,3,0,0,0,0
576,Trần_Thị_Ngọc_Anh hơn giống loài tỏ ra thượng_đẳng trong khi chả biết củ lìn gì .,2,0,0,3,0
3226,Quen lối sống hùa bầy đàng . Mỗi người Viet chúng_ta trước khi làm_việc gì hãy dùng cái đầu để suy_nghĩ .,0,3,0,3,0
5730,xinh vaicalon y kien gi,2,2,0,0,0
3657,Giáo_án cc gì đây,3,0,0,0,0
6828,Chi ba giau dep gai ai noi chi ke ho ._Chi giau,1,1,0,0,0
6475,Vậy ? Cái tiền hỗ_trợ này sẽ vào túi ai ? Túi thằng xin hả ?,2,2,0,0,0
1887,Ồ . Vậy cái vụ vinashin toàn mấy ôg ngu nhỉ 😁 ? Bạn giỏi thật,2,3,0,0,0
7401,Bắt con này nôn ra 400 tỷ !,1,0,0,0,0
9965,Hôm_qua xem thót tim giật_mình phết đấy ae ạ :)),1,1,0,0,0
8663,a đẹp zai mà 😘 😘,1,1,0,0,0
1721,"Đizz mẹ nó giết dân từ_từ hết chuyện này đến chuyện khác lũ chó quân ăn_cướp chứ đéo phải là quân iu nước , bây_h nó còn rước giặc tàu rồi mở đương cho tàu qua giết dân ta cho nhanh , đưa formosa zề giết dân ta bàn chứng cụ_thể ai_ai cũng thấy",0,0,0,0,3
9634,Danh Nguyễn_Anh_Khôi thấy chưa ? Cánh hoa đó khong phải cái kia đâu sáng t cảm_ơn đưa v còn ch chịu,1,0,0,0,0
1153,Ở vn ngày_nay có một rừng luật nhưng bọn vc chuyên sài luật_rừng !,0,0,0,2,3
6424,"chưi con khỉ gì mà chửi , ae ko ngta qua lao_động kiếm sống thôi mà , người vn thì phải đi xklđ mấy anh mới thu thuế dc chứ",2,2,0,2,0
4817,Rồi đeo hiểu nghĩ con cac j . Chấp_hành vừa tốt mình vừa giúp nhà_nước ._H lại thêm quản phạt vs ngồi_tù nữa thì hay,3,3,0,0,0
4993,cho nó rít vài bi cần là nó ngoan vl luôn,2,2,0,0,0
5602,đmm ghi rõ nguồn VD ra nhé ad,3,3,0,0,0
385,Con mẹ mày . Nhạ ơi . Nhòm vào bữa cơm 25 k của các cháu trường tiểu_học hạp lĩnh . Tp Bắc_ninh xem mày có đớp đc ko,3,0,0,0,0
5647,bệnh_dịch corona cuvid 19 lai_tạo . con giặc corona cuvid 20 lai_tạo . 2 loại này Thuột dạng báo đời,0,0,0,0,0
9170,Sao k xoá thuế cho nông_dân . Lm ăn thua_lỗ tự chịu,1,1,0,0,0
2713,cả đoàn trốn trại ... nói_chuyện điên_khùng,0,0,0,0,0
3196,Đảng đã cho ta một mùa xuân đầy thất_vọng !,0,3,0,0,3
9343,Trần_Sinh_Đức đến là làm phiền,1,0,0,0,0
2758,@ Phương vo nói cl gì z mẹ . Nói mà để ng ta từ_chối hiểu hay gì á,3,0,0,0,0
583,Tú Tý Tởn cười cái qq à bạn : ( (,2,0,0,0,0
2966,Biết vậy bắn chết ông này trước cho ông hỏi tiên chi để khỏi có corona 👾,3,0,0,0,0
772,3-4 tr bán còn 300 k đến 400 k ... nói xạo nói ngu còn nói cho to ... lên mặt dạy_đời bán hàng dễ_thương :))) mồm mày ngày thường ăn phải gai tre nên giờ tối lại xộn lào ak : v,3,0,0,0,0
2067,"Vcl tự_nhiên chửi người khác ngu rồi đem trường_hợp ngu của nó ra ví_dụ ! Đụ_mẹ thằng "" lỏng bao "" dành hết phần ngu người khác ! Não teo rồi hoá chó à",3,0,0,0,0
3043,Lần sau bắt_gặp chụp thành_quả + chủ vũng nước_đái = ghép lại ._Up nó lên gr cty cho đội quần luôn 😃,0,1,0,0,0
3762,abe moi ' noi ' cl gi ` v ?,2,0,0,0,0
4204,Cu Dan doi Kho . ma_Tai_Sao con an chan tien cua dan ngheo vay troi,0,1,0,0,0
1395,Thang bong gia ngao da cai lay mieng may nhu cai cau tieu vay do,3,0,0,0,0
809,Lào giờ gần như là của Tàu khựa rồi thằng ad ngu ạ . Ủng_hộ cái mồ tổ_cha mày .,3,3,0,3,0
8296,Anh độ là người thiết_kế iphone 11,1,0,0,0,0
9936,Ông đi đâu mà lạc sang đây đây,1,0,0,0,0
9662,Tùng Xhaka_Arsenal đi rồi a_tùng ạ,1,0,0,0,0
7365,"Anh tôi live đấy , anh tôi live cổ_vũ nó phải ez game thế đấy 🤣 🤣 🤣 🤣",1,0,0,0,0
7251,Đỗ_Khánh_Dư có mỗi cái 😑 😑 😑 . Tìm trên hình_ảnh chắc có nhiều ...,1,0,0,0,0
3485,Thinh Hoang may là izakaya ở nhật chứ ở houston chết mẹ t :)),3,0,0,3,0
923,"đéo làm được con cặc gì ngồi múa phím suy_diễn đm tụi bây , làm được cái gì như người_ta rồi hãy nói loại ghen_ăn tức ở",0,3,0,0,0
875,Chí Bảo nhung chứ chung cc à,3,0,0,0,0
2194,Lam sao ma co the tha loi duoc cho nhung nguoi an noi vo hoc thuc nhu the nay . Bo tay .,0,2,0,0,0
6800,tham my dien vay choi co cam giac k chi dep gai,0,0,0,0,0
5239,nói dân_trí thấp lại tự_ái 🙂 cái ý_thức còn kém hơn kiến_thức lý của mình nữa 🙂,0,0,0,0,0
8400,"Đi chữa bệnh thôi , đừng có họp với chả hành nữa ...",0,0,0,0,0
7983,Em de mat nhu vay nhin rat dep nhin de thuong lam em gai oi,1,1,0,0,0
2305,"30 : 03 "" Con Đ.Ĩ_L.OZ_Thúi "" 🦋 😂 😂",3,0,0,0,0
4498,Ngứa dái chưa kkkkk,2,2,0,0,0
665,Ko biết có ai nghèo ở VN nhận đc số tiền tỷ tỷ tỷ của nó chưa . kể tài_sản của ng khác rồi xạo lozzz của mk . Bóng này là bóng dơ bóng dũa nail chứ có cl gì .,3,0,0,0,0
2058,"Việc to biến tháng nhỏ , việc nhỏ thành không có gì . xong lại còn đánh lạc_hướng dư_luận sang hướng anh nhà_báo . một bàn tháng lớn cho bộ_máy tuyên_truyền",0,2,0,0,2
2543,Dũng thằng xàm lol,3,0,0,0,0
6216,"Tôi cũng vây , , , nói ko với tân_hiệp phát",1,1,0,0,0
3396,Mày bảo ông quan nào vận_động dc số tiền như thế đi ._Ngu mà_còn diễn,3,0,0,0,0
2362,"Khúc_ruột ngàn_dặm :)) , rồi mấy anh_chị thành_viên trong cái hội ấy đưa con_cháu , gia_đình dòng_họ qua ở chung với cái tụi đu càng thế mới vui :))",0,3,0,0,0
66,Dm cái giọng cười Abe nghe khốn_nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),2,0,0,0,0
4166,Sống lố quá_thể 😓 😓 😓,0,0,0,0,0
8188,"Người miền Tây lúc_nào cũng thiệt tình , dễ_thương vậy đó",0,1,0,0,0
7525,Đào Mạnh_An bên đó cho tự cách_ly và không xét_nghiệm nhé,1,0,0,0,0
2762,Tòa_án Việt + là bọn giết người hơp pháp,3,3,0,0,3
179,Thằng đầu bò,3,0,0,0,0
2643,Huyền_Vy dẹp mẹ đi,2,0,0,0,0
9556,dỗi,1,1,0,0,0
2799,"hợp_đồng của DCS với Tàu thôi nhá , đéo phải dân .",0,3,0,1,0
4707,Bê lol chạy quanh nhà 😂 😂 😂,2,2,0,0,0
2961,Đhs cứ mặc định nghĩ là nội bài là tđn nào nhỉ ? Qatar thì nó cũng có sân_bay mà từ qatar về hà_nội phải transit qua bangkok nhé :))) . Sân_bay nào cũng có trộm cả thôi :))),0,0,0,2,0
4085,Trưởng_thành vl,1,0,0,0,0
3060,Biệt_tài trả_lời xong chẳng biết trần dần nói gì . Vũ_Hoàng_Lân thiếu người để kiếm viu đi phỏng_vấn người điên .,3,2,0,0,0
9371,Em dung o mot goc do ma noi em thay chi mat chi phuc hau em tin chi_chi noi gi em cung tin,1,0,0,0,0
9369,làm thật đó hả thầy :)),1,1,0,0,0
4811,đjt nhau thế_kỉ đây rồi,2,2,0,0,0
1704,1 phò cho hay,3,0,0,0,0
2964,đkm đứa nào bảo idol trần dần t mắc covid đấy : v,2,0,0,0,0
708,Nguyễn_Thuận_cmt = não đi bạn,2,0,0,0,0
9403,Chuẩn vl chứ còn gì nữa : ( (,2,2,0,0,0
441,Hải_Yến Đ care cmt làm gì ? ? ? :))) Ô ai hỏi m à ? :)))),3,0,0,0,0
6189,Thầy_Giáo Lu vcl thấy giáo lu =))),1,1,0,0,0
387,Hiếu Bùi_giỏi qá cc j cũng biết hết â,2,0,0,0,0
4808,Vài bữa nữa cty Lục_Tỉnh ra thông_báo xin_lỗi Xanh Bôn thì lại hài vcl 😂,2,2,0,0,0
2319,"Thiên_Minh ko biết đọc hiểu à , trong 14 ngày phải cách_ly tại nhà , cậu Tiệp này chạy tung_tăng khắp thành_phố ( tổ_dân_phố tới kiểm_tra nhiều lần ko có nhà và có rất nhiều nhân_chứng , ảnh chụp cho thấy ) nên Chủ tich TP mới phải ký qđ cho cách_ly vì cậu Tiệp đã sai qđ . Nói_chung là cái loại ý_thức kém như thằng này thì ko cần phải nương_tay , cứ cưỡng_chế",2,0,0,0,0
7719,bình_thường ông này cũng bị nhiễm rồi mà . hài,1,1,0,0,0
3788,Vl . bỏ 33 giây cuộc_đời ra để cười . tốn thời_gian mà đéo đc cl gì,0,3,0,0,0
5208,Chỉnh lại ông bô . Xe với trả cộ ẩu vl,0,0,0,0,0
6347,Nghe khá hay 😂,1,1,0,0,0
3120,Đây là thất_bại của CS chứ còn gì nữa,0,1,0,1,3
9971,Nguyễn_Thu_HườngPhan_Xuân_HưngThành NguyễnHoàng_Văn_QuyềnĐào_Thị_Thu lịch lên Cầu_Giấy họp hơi lâu . : v,1,1,0,0,0
6223,Nguyễn_Hoàng bài j v,1,0,0,0,0
1736,Ngta lớn ngta chua kêu tên mày thứ nhỏ mất_dạy tao cũng bị gạt đây thấy LGBT dễ_thương mua ủng_hộ live nào tao cũng coi may đm mua ve xịt 3 phút đéo nghe mùi j thu làm_ăn_gian_dối ko tồn_tại dc lâu đâu nhỏ_hon ngta mà hổn láo,3,1,0,0,0
3636,đkm dơ vc,0,3,0,0,0
437,mai tao xin đi làm dân_quân xong t đi tìm ra mày giết mày ad ạ đồ phản_động : v dlv dạo này hoạt_động ghê lm,3,2,0,0,0
3630,Phạm Nguyễn_Cát_Vy cljv con,3,2,0,0,0
7293,Combat lùi abe ơiii,1,0,0,0,0
3106,Cđ châu_md quá tr r 🤣 🤣,3,0,0,0,0
8193,Chuẩn ! !,0,0,0,0,0
275,Loại mày trước sau gì trời cũng đánh mày,3,0,0,0,0
7336,Ủa xem EmVi hay đang nhận giải hoa_hậu mà khóc dữ dị ? Từ từ em nào cũng có giải không cần chen_lấn mất_vui nghe . 😂,1,0,0,0,0
2342,buồn_nôn quá nè anh ơi :)),1,0,0,0,0
9144,Đó h tưởng 2 phai,2,2,0,0,0
6620,"Chia_buồn cùng người em ad , bốc_xếp lấy nhưng nhiều khi an_ninh coi máy soi chiếu báo cho bốc sếp lấy",1,1,0,0,0
2798,sao ko lấy tên là Linh Láo Lồn nhỉ ae ? ?,3,0,0,0,0
5132,Thật_ra là quên kéo khóa quần ngoài lộ quần trong nên để lộ hẳn thành phong_cách mới cho nó đỡ quê,0,0,0,0,0
4978,bị chịch,2,2,0,0,0
9427,Bích_Trâm :))))) làm thì tập_trung làm đừng nhớ những buổi vui_đùa chị_em nha chị Uyên Thảo,1,0,0,0,0
8581,Chung Tiến sv 16 hay 17 gì đó nằm ở cuối góc trái bản_đồ,1,1,0,0,0
3801,Cút mẹ luôn đi chứ tạm cl,3,3,0,0,0
7481,Coi vui ghê,0,0,0,0,0
8475,Sao mà kể người_ta không vậy không kể mình vô_duyên,0,0,0,0,0
3937,Nói ý_thức như đb thì tội cho đb quá ._Đ m,3,3,0,0,0
7865,Sống chậm thui ae,1,1,0,0,0
8393,Nguyễn_Hữu_Đạt có duyên chết liền .... nhưng mk lại thích kkkk,1,0,0,0,0
8249,Ghé_shop em lựa đồ Unisex và Hàng_QC_siêu_xinh các bác ơi 💥 🍊 💥_Shop em bao check hàng trước khi nhận nha 👏 🏾 🖤,1,0,0,0,0
6719,"<3 tự_hào là người VN , tự_hào là cháu ngoan Bác_Hồ :D",1,1,0,1,0
507,phe Nguyễn_Phú_Trọng_compat tổng Nguyễn_Tấn_Dũng =)),1,1,0,0,1
9778,: (,0,0,0,0,0
2312,chửi thế này là bthg đấy :)) chắc nó làm cả việt nam khổ vì nó câu chửi cũng chẳng lj được nó,2,0,0,1,0
4445,Thật là nhục_nhã,0,0,0,0,0
1398,Con bóng ngu ngục minh hiếu,3,0,0,0,0
4380,"Dm . T mới bị con go go nó chạy sau nó đớp b ak , gửi cho nó pit mà",1,0,0,0,0
9506,Giang Thanh Đạt Đú Đẫn Quang_Trung :)),1,0,0,0,0
5419,vĩ_đại cái máu lồn =))),0,0,0,0,0
2930,Trân Dân . mày vê VN tao sē Công_Đâu_Mày .... Nhơ lơi tao nói ... Thương bé lăm,3,0,0,0,0
9186,❤ ️ ❤ ️,0,0,0,0,0
1757,Thôi_thôi ông im cmn đê ... 🙂,2,0,0,0,0
625,Thờ buổi này đi du_lịch chi vậy 😀 đi để kịp đầu_thai hả ha gì mà đi dữ vậy,0,2,0,0,0
5226,Thời_trang với thời chủng nhìn mất hết cảm_tình 😬 😬,0,0,0,0,0
8832,Sale 99 % thì mua,1,1,0,0,0
5930,À thế bạn ý hát bài j jui có ai giới_thiệu cho mình đc ko . Lâu jui mình chẳng nghe bài hát mới nào cả,0,0,0,0,0
5883,"Goodnow Tran lo ở nhà đi ra ngoài tiết diên mày bị mắc bệnh giờ , tui cam_đoan là như dị",1,1,0,0,0
4253,Quần sịn nhưng tư_cách đéo xịn,1,0,0,0,0
7200,Xin_phép copy của bạn,1,0,0,0,0
5931,"Chúc anh_em năm mới vui_vẻ , an_khang thịnh_vượng .",1,1,0,0,0
5880,🙆 🏻 ‍ ♀ ️,1,1,0,0,0
3613,"sắp trầm_cảm cmnr , nhiều tâm_sự cứ giữ mãi trong lòng và che dấu bằng nụ cười 😷",2,0,0,0,0
1644,chúng nó ăn ghê vạy ... chứ đè_đầu bắt tù ngay thằng nào dám dành ăn với nó ! cho_dù là bán phở !,1,3,0,0,0
8359,a làm tháng có 7 8 triệu thôi . A nghèo lắm 😩 😩,1,0,0,0,0
9137,0969779003 gọi lw,0,0,0,0,0
4986,"Đang họp nhưng kín , éo cho phóng_viên vào ._ĐM .",2,2,0,0,0
8575,Chuc chi 3 khoe nha,1,1,0,0,0
9142,Hoàng_Xuân dễ bị lộn zs con so lắm . Thôi nhịn luôn cho chắc nheng bác,1,0,0,0,0
8880,tổ lái,1,1,0,0,0
6414,Tại_sao phải trả_lời thầy,2,2,0,0,0
545,Cho nó ngáp cho nó chừa Cho mày tin cs nhe con,2,2,0,0,2
3105,Mày cứ nghĩ mày là ông cễnh con à,3,0,0,0,0
6737,Hahahahahahaaaa,0,0,0,0,0
1415,Mat la chi Ba o duoi chac la ong Ba yo,0,0,0,0,0
8483,Mất cả kho điểm free @ @,0,0,0,0,0
1406,Không có một thứ chủ_nghĩa nào mà lại tàn_phá đất_nước và con_người như chủ_nghĩa này . Các bạn trẻ hãy luôn kiềm_chế mình để sau mỗi cuộc hân_hoan về bóng_đá thì lại đem đau_thương về gia_đình của mình lâu_dài .,0,0,0,0,3
2929,"Bán nước rõ_ràng rồi , các cháu dư_luận viên còn gì để sủa ko ?",0,0,0,0,0
3920,Đi cách_ly chứ đâu phải đi du_lịch 😉,1,1,0,0,0
7134,E chỉ có hàm_răng ko đẹp có hỗ_trợ ko a hjhj,1,0,0,0,0
1092,Mía sâu có đốt nhà dột có nơi ai làm gì nói đàn hoàn mày chửi hết quơ đũa hết vậy mới xin_lỗi lại cả cộng_đồng bây_giờ chửi tiếp bó_tay .,1,0,0,0,0
